A0 = 
0.2757
0.2209
0.5034
0.0000
0.0000
=============================================== 
D = 
0.0000
0.0197
0.0000
0.0565
0.0000
0.0000
0.0000
0.0562
0.0674
0.0314
0.0323
0.0000
0.0424
0.0595
0.0000
0.0000
0.0000
0.0000
0.0000
0.0022
0.0000
0.0000
0.0000
0.0132
0.0000
0.0000
0.0000
0.0000
0.0667
0.0000
0.0670
0.0320
0.0000
0.0000
0.0000
0.0000
0.0000
0.0573
0.0000
0.0000
0.0000
0.0000
0.0656
0.0000
0.0475
0.0000
0.0263
0.0000
0.0000
0.0000
0.0287
0.0310
0.0479
0.0329
0.0673
0.0000
0.0000
0.0000
0.0251
0.0240
=============================================== 
A = 
0.0000	0.0000	0.0000	1.0000	0.0000
0.0000	0.0000	0.0000	0.0000	0.0000
0.3515	0.5149	0.0000	0.0000	0.0000
0.6485	0.0000	0.0000	0.0000	1.0000
0.0000	0.4851	1.0000	0.0000	0.0000
=============================================== 
D = 
0.0000	0.0137	0.0508	0.0690	0.0720
0.0000	0.0000	0.0000	0.0216	0.0000
0.0000	0.0000	0.0000	0.0000	0.0000
0.0306	0.0156	0.0000	0.0366	0.0301
0.0272	0.0000	0.0745	0.0327	0.0000
0.0000	0.0323	0.0474	0.0000	0.0063
0.0000	0.0175	0.0579	0.0000	0.0529
0.0195	0.0000	0.0000	0.0000	0.0776
0.0412	0.0463	0.0000	0.0432	0.0170
0.0000	0.0069	0.0000	0.0379	0.0000
0.0030	0.0000	0.0000	0.0356	0.0000
0.0543	0.0543	0.0027	0.0580	0.0000
0.0165	0.0000	0.0000	0.0485	0.0559
0.0000	0.0000	0.0000	0.0000	0.0711
0.0000	0.0048	0.0000	0.0000	0.0786
0.0000	0.0327	0.0320	0.0266	0.0511
0.0000	0.0251	0.0000	0.0000	0.0000
0.0000	0.0311	0.0000	0.0000	0.0000
0.0340	0.0536	0.0531	0.0811	0.0000
0.0000	0.0000	0.0755	0.0286	0.0000
0.0000	0.0000	0.0000	0.0158	0.0846
0.0000	0.0246	0.0000	0.0000	0.0000
0.0000	0.0000	0.0441	0.0752	0.0083
0.0251	0.0363	0.0000	0.0000	0.0000
0.0562	0.0765	0.0000	0.0178	0.0890
0.0000	0.0000	0.0000	0.0000	0.0000
0.0422	0.0668	0.0000	0.0000	0.0483
0.0000	0.0282	0.0000	0.0000	0.0000
0.0000	0.0000	0.0000	0.0000	0.0397
0.0000	0.0000	0.0574	0.0000	0.0000
0.0000	0.0000	0.0000	0.0749	0.0000
0.0866	0.0000	0.0000	0.0000	0.0124
0.0117	0.0760	0.0522	0.0033	0.0000
0.0000	0.0429	0.0715	0.0000	0.0000
0.0000	0.0000	0.0000	0.0000	0.0000
0.0375	0.0248	0.0187	0.0000	0.0000
0.0000	0.0171	0.0000	0.0000	0.0000
0.0370	0.0506	0.0215	0.0509	0.0000
0.0783	0.0000	0.0000	0.0000	0.0000
0.0000	0.0088	0.0000	0.0000	0.0000
0.0709	0.0000	0.0519	0.0000	0.0000
0.0000	0.0000	0.0000	0.0000	0.0000
0.0462	0.0000	0.0000	0.0763	0.0089
0.0000	0.0000	0.0479	0.0000	0.0000
0.0000	0.0000	0.0000	0.0191	0.0000
0.0000	0.0027	0.0464	0.0000	0.0000
0.0819	0.0474	0.0000	0.0687	0.0189
0.0000	0.0000	0.0000	0.0000	0.0000
0.0000	0.0000	0.0497	0.0000	0.0000
0.0000	0.0148	0.0232	0.0000	0.0000
0.0018	0.0000	0.0000	0.0000	0.0000
0.0682	0.0810	0.0599	0.0000	0.0696
0.0000	0.0000	0.0433	0.0231	0.0225
0.0000	0.0000	0.0000	0.0000	0.0263
0.0937	0.0000	0.0184	0.0439	0.0189
0.0000	0.0000	0.0000	0.0000	0.0399
0.0000	0.0000	0.0000	0.0116	0.0000
0.0365	0.0675	0.0000	0.0000	0.0000
0.0000	0.0000	0.0000	0.0000	0.0000
0.0000	0.0000	0.0000	0.0000	0.0000
=============================================== 
O = 
0.1426	0.0000	0.0000	0.0000	0.0255
0.0000	0.0000	0.1571	0.0788	0.0000
0.1938	0.0000	0.2820	0.2829	0.0734
0.0000	0.3511	0.1070	0.2213	0.0000
0.2482	0.1547	0.0000	0.1517	0.0000
0.0000	0.0000	0.2547	0.0000	0.0000
0.0000	0.0000	0.0000	0.0000	0.4386
0.0000	0.1181	0.0468	0.0000	0.0000
0.0000	0.0000	0.1103	0.0000	0.0000
0.0000	0.0000	0.0000	0.2653	0.4146
0.0000	0.3761	0.0421	0.0000	0.0480
0.4154	0.0000	0.0000	0.0000	0.0000
